empire,notes,styleOfRule,durationFrom,durationUntil,era,population,,peakStart,peakDecline,totalDuration,total duration + 50 (d of inner circle) - this gives radius of 1/2 total duration; relatively they will plot correctly - max displayable is about 1100px,"roundup((2/3 of total duration) + 140px,0)",total duration x2,,yearsBeforePeak,peakLength,yearsAfterPeak,worldCoverage,worldCoveragePerc,worldCoverageFontSize,,,total recalc,peakStartPerc,peakDeclinePerc,,decimalPeakStart,decimalDeclineStart,,decimal peak % start x100 ,O rounded to avoid calc confusion,,decimal peak % decline x100,decline % minus start %,R rounded,,100 - decline %,P+S,100 - (P+S),,% start + % decline,P+S+V,,reasonForDecline,decline story,,,
Akkadian,earliest,monarchy,-2334,-2095,BCE,no data,-,130,180,239,289,284,478,739,130,50,59,0.01,1,6,12,12,239,54,0.75,75,0.54,0.75,,54,54,540,75,21,21,210,,75,25,250,129,100,,internal conflict,destroyed by invading Gutians,,,
Mayan,,theocracy,-2000,900,BCE-CE,20,34,2250,2750,2900,2950,1880,5800,3400,2250,500,150,0.01,1,6,12,12,2900,77,0.94,94,0.77,0.94,,78,78,780,95,17,17,170,,94,5,50,173,100,,unknown,sudden collapse despite high levels of culture and technology remains a mystery http://en.wikipedia.org/wiki/Classic_Maya_collapse,,unknown,
Hittite,,monarchy,-1700,-1180,BCE,no data,#VALUE!,400,500,520,570,452,1040,1020,400,100,20,0.01,1,6,12,12,520,76,0.96,96,0.76,0.96,,77,77,770,96,19,19,190,,96,4,40,173,100,,internal conflict,Invasions from Sea Peoples and squabbles over throne,,,
Assyria,,monarchy,-900,-610,BCE,no data,#VALUE!,230,288,290,340,314,580,790,230,58,2,0.01,1,6,12,12,290,79%,0.99,99,0.79,0.99,,79,79,790,99,20,20,200,1,99,1,10,178,100,,internal conflict,destroyed by a Chaldean-Median coalition,,,
Achaemenid,,monarchy,-648,-330,BCE,50,64,182,318,318,368,331,636,818,182,136,0,0.04,4,9,18,18,318,57%,1,100,0.57,1,,57,57,570,100,43,43,430,0,100,0,0,157,100,,internal conflict,conquered by Alexander the Great,,,
Carthaginian,,monarchy,-575,146,BCE,no data,#VALUE!,375,375,429,479,398,858,929,375,0,54,no data,#VALUE!,#VALUE!,#VALUE!,#VALUE!,429,87%,0.87,87,0.87,0.87,,87,87,870,87,0,0,0,13,87,13,130,174,100,,internal conflict,in a constant state of struggle with the Roman Republic - led to Punic Wars,,,
Axum (Ethiopian),,monarchy,-400,900,BCE-CE,no data,#VALUE!,750,900,1300,1350,920,2600,1800,750,150,400,0.01,1,6,12,12,1300,58%,0.69,69,0.58,0.69,,58,58,580,69,11,11,110,31,69,31,310,127,100,,overstretch,forced into economic isolation by Muslim Caliphate,,,
Macedonian,,autocracy,-330,-323,BCE,no data,#VALUE!,7,7,7,57,145,14,507,7,0,0,0.03,3,8,16,16,7,100%,1,100,1,1,,100,100,1000,100,0,0,0,0,100,0,0,200,100,,economics,unstable after Alexander the Great died,,,
Ptolemaic,,monarchy,-323,30,BCE-CE,no data,#VALUE!,22,265,353,403,352,706,853,22,243,88,0.01,1,6,12,12,353,6%,0.75,75,0.06,0.75,,6,6,60,75,69,69,690,25,75,25,250,81,100,,external conflict,revolts due to a succession of incompetent rulers; unstoppable Roman expansion,,,
Mauryan,,monarchy,-321,-185,BCE,55,69,71,89,136,186,222,272,636,71,18,47,0.03,3,8,16,16,136,52%,0.65,65,0.52,0.65,,52,52,520,65,13,13,130,35,65,35,350,117,100,,external conflict,long decline began after the death of Ashoka due to a succession of weak kings which allowed for internal divides to deepen,,,
Seleucid,,stratocracy,-312,-60,BCE,30,44,11,212,252,302,292,504,752,11,201,40,0.03,3,8,16,16,252,4%,0.84,84,0.04,0.84,,4,4,40,84,80,80,800,16,84,16,160,88,100,,internal conflict,Civil War; fell to the Romans,,,
Xiong Nu,,monarchy,-300,200,BCE-CE,no data,#VALUE!,124,433,500,550,440,1000,1000,124,309,67,0.06,6,11,22,12,500,25%,0.87,87,0.25,0.87,,25,25,250,87,62,62,620,13,87,13,130,112,100,,overstretch,southern Xiongnu relied almost totally on the Chinese Han dynasty's assistance,,,
Parthian,,monarchy,-224,224,BCE-CE,no data,#VALUE!,276,500,500,550,440,1000,1000,276,224,0,0.02,2,7,14,14,500,55%,1,100,0.55,1,,55,55,550,100,45,45,450,0,100,0,0,155,100,,internal conflict,"last king was defeated by one of the empire's vassals, the Persians of the Sassanian dynasty.",,,
Han Dynasty,,monarchy,-206,220,BCE-CE,58,72,156,395,426,476,396,852,926,156,239,31,0.04,4,9,18,18,426,37%,0.93,93,0.37,0.93,,37,37,370,93,56,56,560,7,93,7,70,130,100,,external conflict,fractured into regional regimes by warlords,,,
Roman,,autocracy,-44,476,BCE-CE,65,79,,518,520,570,452,1040,1020,0,518,2,0.04,4,9,18,18,520,0%,1,100,0,1,,0,0,0,100,100,100,1000,0,100,0,0,100,100,,leadership issues,"contested - the ""fall"" of the Roman Empire depended a great deal on where you were and your status in the world. Partly leadership disputes.",,,
Goguryeo,,stratocracy,-37,668,BCE-CE,no data,#VALUE!,428,637,705,755,563,1410,1205,428,209,68,no data,1,6,12,12,705,61%,0.9,90,0.61,0.9,,61,61,610,90,29,29,290,10,90,10,100,151,100,,internal conflict,crippled by conflicts with Chinese dynasties,,,
Kushan,,monarchy,60,375,CE,42,56,140,165,315,365,329,630,815,140,25,150,0.03,3,8,16,16,315,44%,0.52,52,0.44,0.52,,44,44,440,52,8,8,80,48,52,48,480,96,100,,internal conflict,"After the death of Vasudeva I in 225, the Kushan empire split into western and eastern halves & suffered from Persian attacks",,,
