empire,duration,peakPerc,declinePerc,fictional?,,from,to,era,peak,decline,peakFromStart,declineFromStart,,geopolitics,,,,expanse,,,,,declineCat,decline story,,empire check,,,,note,source,links,,,
average,491,50%,84%,,,year,year,BCE or CE,,,,,,"if various, of origin",'various' if > 2,"absolute monarchy, theocracy, republic etc",,6,4.34%,,km2 x population (m),,," or theories, if not available",,,,,,,,,,,
Achaemenid (First Persian),318,57%,100%,n,,648,330,BCE,500,330,182,318,,South Asia,various,feudal monarchy,,5.5,4%,50,275,,military conflict,conquered by Alexander the Great,,y,y,y,, ruled by advocating love & tolerance rather than fear; influenced US Constitution,New World Encyclopedia; Journal of World-Systems Research (2006),http://www.newworldencyclopedia.org/entry/Iran#Median_and_Achaemenian_Empires,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,,
Alexander the Great's (Macedonia),7,100%,100%,n,,330,323,BCE,323,323,7,7,,Europe,Thessaloniki,autocracy,,5.2,3%,no data,-,,overstretch,unstable after Alexander the Great died,,n,y,y,,,New World Encyclopedia; Journal of World-Systems Research (2006),http://www.newworldencyclopedia.org/entry/Republic_of_Macedonia,http://www.newworldencyclopedia.org/entry/Alexander_the_Great,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,
Assyria,290,79%,99%,n,,900,610,BCE,670,612,230,288,,Southwest Asia,Assur,led a federal monarchy,,1.4,1%,no data,-,,military conflict,destroyed by a Chaldean-Median coalition,,y,n,y,,,Encyclopedia Britannica; Journal of World-Systems Research (2006),http://www.britannica.com/EBchecked/topic/39555/Assyria,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,,
Axum (Ethiopian),"1,300",58%,69%,n,,400,900,BCE - CE,350,500,750,900,,Africa,Axum,monarchy (with variable degree of control across Empire),,1.3,1%,no data,-,,economic,forced into economic isolation by Muslim Caliphate,,y,n,y,,power founded on city of Axum's role as an economic & trading centre,New World Encyclopedia; Journal of World-Systems Research (2006),http://www.newworldencyclopedia.org/entry/Axum,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,http://en.wikipedia.org/wiki/Kingdom_of_Aksum#Empire,http://www.newworldencyclopedia.org/entry/Ethiopia#History
British (colonial),497,85%,89%,n,,1500,1997,CE,1921,1942,421,442,,Europe,London,constitutional monarchy,,37.0,25%,520,"19,240",,overstretch,onset of World War II; nationalism within Empire; military overstretch,,y,y,y,,,New World Encyclopedia,http://www.newworldencyclopedia.org/entry/British_Empire,,,
Byzantine,"1,153",13%,78%,n,,300,1453,CE,450,1204,150,904,,Central Asia,Constantinople,theocracy,,2.8,2%,17,48,,military conflict,weakened by Crusades & eventually defeated by Ottoman Turkish onslaughts,,y,n,y,,emperors saw themselves as Christ's vicars on earth & empire as a Christian Empire,"New World Encyclopedia; Encyclopedia Britannica; Rein Taagepera ""Size and Duration of Empires: Growth-Decline Curves, 600 B.C. to 600 A.D."", Social Science History Vol. 3, 115-138 (1979). Treadgold 'History of Byzantine State and Society'",http://www.newworldencyclopedia.org/entry/Byzantine_Empire#End_of_empire,http://www.britannica.com/EBchecked/topic/87186/Byzantine-Empire,http://www.jstor.org/discover/10.2307/1170959?uid=3738032&uid=2&uid=4&sid=21101518988937,http://books.google.co.uk/books?id=nYbnr5XVbzUC&pg=PA149&source=gbs_toc_r&cad=4#v=onepage&q&f=false
Caliphate - Abbasid ,508,30%,37%,n,,750,1258,CE,900,940,150,190,,Central Asia,Baghdad,theocracy,,11.1,7%,50,555,,internal conflict," slowly went into decline with the rise to power of the Turkish army they had created, the Mamluks",,y,y,y,,,New World Encyclopedia; Wikipedia for population & land area estimate,http://www.newworldencyclopedia.org/entry/Abbasids#Learning_under_the_Abbasid_dynasty,http://en.wikipedia.org/wiki/List_of_largest_empires,http://en.wikipedia.org/wiki/Abbasid_Caliphate,
Caliphate - Fatimid ,261,23%,61%,n,,910,1171,CE,969,1070,59,160,,Africa,Mahdia then Cairo,meritocratic theocracy,,4.1,3%,no data,-,,military conflict," challenged first by Turkic invasions, then by the Crusades",,y,y,y,,,New World Encyclopedia; Journal of World-Systems Research (2006),http://www.newworldencyclopedia.org/entry/Fatimids_Caliphate,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,,
Caliphate (Muslim Empire),"1,292",9%,100%,n,,632,1924,CE,750,1924,118,1292,,Southwest Asia,various,elective monarchy & theocracy,,11.1,7%,29,322,,internal conflict," the first president of the Turkish Republic, Mustafa Kemal Atatürk, constitutionally abolished the institution of the caliphate",,y,y,debatable,,"was an attempt to create a single, God-fearing community of all mankind. The global Muslim population had reached about 8 per cent of the world total as against the Christian population of 14 per cent by 1400",New World Encyclopedia; Journal of World-Systems Research (2006); Wikipedia population estimates & own calcs - see _wiki pop estimates,http://www.newworldencyclopedia.org/entry/Caliph,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,http://en.wikipedia.org/wiki/History_of_Islam,
Carthaginian,429,87%,87%,n,,575,146,BCE,200,200,375,375,,Africa,Carthage,plutocracy,,0.3,0.20%,no data,-,,military conflict,in a constant state of struggle with the Roman Republic - led to Punic Wars,,y,n,informal,,,New World Encyclopedia; Find the Data.org,http://www.newworldencyclopedia.org/entry/Carthaginian_Empire,http://empires.findthedata.org/,,
Chagatai,462,27%,81%,n,,1225,1687,CE,1350,1600,125,375,,East Asia,"Almaliq, Qarshi","semi-elective monarchy, later hereditary monarchy",,3.5,2%,no data,-,,internal conflict,began process of decentralization,,y,n,y,,,Journal of World-Systems Research (2006); Wikipedia,http://jwsr.ucr.edu/archive/vol12/number2/pdf/jwsr-v12n2-tah.pdf,http://en.wikipedia.org/wiki/Chagatai_Khanate,,
Chola Empire,"1,300",69%,75%,n,,100,1400,CE,1000,1070,900,970,,South Asia,various,monarchy assisted by a powerful bureaucracy & local governments,,3.6,2%,no data,-,,military conflict,started to lose control of territories & eventually overshadowed by the Pandyan empire,,y,n,y,,,New World Encyclopedia; Wikipedia,http://www.newworldencyclopedia.org/entry/Chola_Dynasty,http://en.wikipedia.org/wiki/Historical_powers,,
